date, pm25, pm10, o3, no2, so2, co
2017/3/12, , 12, 32, 3, 1, 
2017/3/13, , 15, 28, 8, 1, 
2017/3/14, , 23, 33, 9, 1, 
2017/3/15, , 28, 39, 11, 1, 
2017/3/16, , 18, 35, 6, 1, 
2017/3/17, , 20, 31, 7, 1, 
2017/3/18, , 14, 35, 7, 1, 
2017/3/19, , 13, 30, 9, 2, 
2017/3/20, , 12, 34, 10, 3, 
2017/3/21, , 10, 30, 11, 1, 
2017/3/22, , 6, 33, 12, 1, 
2017/3/23, , 7, 33, 11, 1, 
2017/3/24, , 9, 34, 8, 1, 
2017/3/25, , 5, 37, 3, 1, 
2017/3/26, , 5, 39, 4, 1, 
2017/3/27, , 6, 36, 9, 2, 
2017/3/28, , 8, 36, 12, 1, 
2017/3/29, , 13, 41, 6, 1, 
2017/3/30, , 9, 39, 10, 1, 
2017/3/31, , 13, 37, 4, 1, 
2016/10/1, , 8, 24, 6, , 
2016/10/2, , 10, 17, 13, , 
2016/10/3, , 15, 31, 12, 3, 
2016/10/4, , 21, 20, 13, 3, 
2016/10/5, , 12, 24, 14, , 
2016/10/6, , 11, 26, 9, 1, 
2016/10/7, , 9, 26, 9, , 
2016/10/8, , 10, 28, 7, 1, 
2016/10/9, , 10, 24, 13, 1, 
2016/10/10, , 11, 21, 14, 1, 
2016/10/11, , 11, 29, 9, 1, 
2016/10/12, , 14, 17, 16, 1, 
2016/10/13, , 10, 26, 8, , 
2016/10/14, , 10, 29, 8, , 
2016/10/15, , 7, 29, 12, 1, 
2016/10/16, , 9, 23, 15, 1, 
2016/10/17, , 14, 19, 16, 1, 
2016/10/18, , 13, 23, 14, 1, 
2016/10/19, , 10, 25, 18, 1, 
2016/10/20, , 11, 21, 16, 1, 
2016/10/21, , 11, 20, 13, 1, 
2016/10/22, , 12, 21, 5, , 
2016/10/23, , 5, 17, 18, 1, 
2016/10/24, , 7, 6, 21, 1, 
2016/10/25, , 17, 12, 12, 1, 
2016/10/26, , 20, 16, 8, 3, 
2016/10/27, , 10, 8, 12, 1, 
2016/10/28, , 14, 13, 16, 1, 
2016/10/29, , 15, 13, 15, 1, 
2016/10/30, , 13, 11, 21, 1, 
2016/10/31, , 14, 27, 8, 1, 
2016/11/1, , 13, 17, 18, 1, 
2016/11/2, , 19, 9, 18, 1, 
2016/11/3, , 21, 13, 15, 1, 
2016/11/4, , 17, 24, 8, 1, 
2016/11/5, , 8, 22, 10, 1, 
2016/11/6, , 4, 18, 20, 1, 
2016/11/7, , 6, 17, 19, 1, 
2016/11/8, , 7, 24, 9, 1, 
2016/11/9, , 7, 22, 10, 1, 
2016/11/10, , 9, 24, 14, 1, 
2016/11/11, , 7, 10, 13, 1, 
2016/11/12, , 8, 26, 4, 1, 
2016/11/13, , 6, 24, 8, 1, 
2016/11/14, , 11, 18, 14, 1, 
2016/11/15, , 12, 14, 17, 1, 
2016/11/16, , 13, 9, 18, 1, 
2016/11/17, , 14, 22, 15, 1, 
2016/11/18, , 15, 27, 6, 1, 
2016/11/19, , 10, 24, 3, 1, 
2016/11/20, , 6, 26, 8, 1, 
2016/11/21, , 6, 16, 19, 1, 
2016/11/22, , 7, 20, 15, 1, 
2016/11/23, , 4, 20, 14, 1, 
2016/11/24, , 4, 17, 15, 2, 
2016/11/25, , 8, 19, 16, 2, 
2016/11/26, , 7, 16, 14, 1, 
2016/11/27, , 13, 10, 18, 1, 
2016/11/28, , 15, 10, 21, 1, 
2016/11/29, , 18, 24, 11, 2, 
2016/11/30, , 10, 24, 19, 4, 
2016/12/1, , 11, 15, 20, 1, 
2016/12/2, , 15, 21, 12, 1, 
2016/12/3, , 10, 29, 4, 1, 
2016/12/4, , 7, 29, 15, 1, 
2016/12/5, , 11, 18, 18, 1, 
2016/12/6, , 15, 17, 16, 1, 
2016/12/7, , 13, 29, 5, 1, 
2016/12/8, , 9, 28, 11, 1, 
2016/12/9, , 7, 20, 16, 1, 
2016/12/10, , 7, 11, 18, 1, 
2016/12/11, , 13, 7, 27, 4, 
2016/12/12, , 23, 24, 17, 3, 
2016/12/13, , 12, 22, 12, 2, 
2016/12/14, , 10, 24, 11, 1, 
2016/12/15, , 14, 24, 17, 1, 
2016/12/16, , 18, 10, 18, 2, 
2016/12/17, , 27, 12, 13, 1, 
2016/12/18, , 22, 19, 13, 1, 
2016/12/19, , 15, 17, 15, 1, 
2016/12/20, , 14, 7, 20, 1, 
