date, pm25, pm10, o3, no2, so2, co
2019/7/12, 80, 33, 53, 10, , 1
2019/7/13, 88, 23, , 3, , 1
2019/7/14, 60, 20, 21, 7, , 1
2019/7/15, 47, 19, 27, 7, , 1
2019/7/16, 47, 19, 27, 7, , 1
2019/7/17, 36, 17, 20, 6, , 1
2019/7/18, 31, 15, 18, 6, , 1
2019/7/19, 35, 11, 16, 2, , 1
2019/7/20, 28, 13, 22, 4, , 1
2019/7/21, 33, 18, 26, 11, , 1
2019/7/22, 43, 21, 16, 10, , 1
2019/7/23, 41, 17, 11, 6, , 1
2019/7/24, 34, 14, 17, 2, , 1
2019/7/25, 23, 21, 20, 4, , 1
2019/7/26, 36, 14, 18, 3, , 1
2019/7/27, 26, 8, 24, 3, , 1
2019/7/28, 21, 15, 23, 4, , 1
2019/7/29, 25, 22, 23, 5, , 1
2019/7/30, 27, 17, 26, 8, , 1
2019/7/31, 28, 17, 27, 6, , 1
2019/8/1, 42, 21, 29, 7, , 1
2019/8/2, 46, 18, 22, 4, , 1
2019/8/3, 46, 13, 23, 2, , 1
2019/8/4, 36, 13, 18, 5, , 1
2019/8/5, 36, 14, 9, 5, , 1
2019/8/6, 15, 8, 4, 3, , 1
2019/8/7, 15, 3, 18, 1, 4, 1
2019/8/8, 10, 19, 18, 2, , 1
2019/8/9, 30, 22, 22, 2, , 1
2019/8/10, 34, 15, 25, 2, , 1
2019/8/11, 29, 14, 24, 5, , 1
2019/8/12, 21, 16, 25, 4, , 
2019/8/13, 25, 14, 14, 7, , 1
2019/8/14, 26, 12, 21, 3, , 1
2019/8/15, 25, 14, 18, 6, , 2
2019/8/16, 31, 8, 10, 5, , 1
2019/8/17, 18, 10, 22, 5, , 1
2019/8/18, 22, 14, 22, 8, , 1
2019/8/19, 29, 15, 22, 7, , 1
2019/8/20, 30, 13, 28, 11, , 1
2019/8/21, 36, 18, 36, 15, , 1
2019/8/22, 41, 24, 32, 15, , 1
2019/8/23, 67, 23, 30, 4, , 1
2019/8/24, 52, 19, 23, 8, , 1
2019/8/25, 46, 22, 32, 13, , 1
2019/8/26, 55, 23, 25, 12, , 1
2019/8/27, 53, 20, 18, 7, , 1
2019/8/28, 44, 18, 22, 10, , 1
2019/8/29, 46, 33, 24, 15, , 1
2019/8/30, 64, 24, 18, 9, , 2
2019/8/31, 54, 15, 20, 3, , 1
2019/9/1, 33, 12, 22, 11, , 1
2019/9/2, 21, 20, 30, 12, , 1
2019/9/3, 33, 16, 27, 14, , 1
2019/9/4, 55, 13, 23, 6, , 1
